frequency_hz,amplitude_db
20.000000000000004,-0.6609605100076146
20.549189708923603,-0.5963463667612406
21.113459884666586,-0.6119333956809994
21.693224629088103,-0.5440322328662458
22.288909415071263,-0.4280519762313829
22.90095139876564,-0.49207025526017767
23.52979974040372,-0.24169859253190262
24.17591593392687,-0.30268582274526057
24.83977414566262,0.36574007526115393
25.52186156230184,0.5138439760890963
26.22267874843129,0.36190139829028656
26.942740013883693,0.3585600335843436
27.682573791175148,0.15565650931832978
28.442723023306726,0.11726705274277766
29.223745562214962,-0.13050931324278947
30.026214578163472,0.07187669000800428
30.850718980376435,0.6114279500882095
31.69786384922227,0.6844742770712632
32.56827088026499,0.23674996302144674
33.46257884050889,0.5073547435774463
34.3814440371715,0.6866371483334409
35.32554079932886,0.7697925495051795
36.29556197278647,0.9452313066653895
37.29221942853913,0.6886428103299032
38.316244585192855,0.7533648293255014
39.36838894573225,0.6589617361314808
40.449424649027144,0.2569120581411727
41.56014503648346,-0.05281081411918592
42.701365234253906,0.09967739699517808
43.87392275143595,-0.23747032998018724
45.07867809469583,-0.6550351331239466
46.31651539977017,-0.8307907204666343
47.58834308030793,-0.8128533204263664
48.89509449452947,-0.8815850343358353
50.2377286301916,-1.1491276511864281
51.61723080836149,-0.9492136065401117
53.03461340651583,-0.8895842215235978
54.49091660149584,-0.4504618989995062
55.987209132863626,-0.5420990550113446
57.52458908721974,-0.43478337039876946
59.104184704057765,-0.4487031814243462
60.727155203747174,-0.08580055020817595
62.39469163825239,-0.054371472763883905
64.10801776521187,0.4670156937277346
65.86839094601916,0.6859224772295535
67.67710306856468,0.8771444886503617
69.53548149531555,0.5585773007117041
71.44489003742933,0.6115409397594453
73.40672995561606,0.6976516905238761
75.42244098848397,0.4290594679338621
77.49350240912266,0.5697959227761162
79.62143411069948,0.2984300002421013
81.80779772186621,0.049502273520490025
84.05419775279384,-0.2930039180362256
86.36228277267702,-0.27013128119572166
88.73374661957223,-0.4437410184698533
91.1703296434574,-0.4580829038915657
93.67381998342536,-0.44992398844607095
96.24605487994837,-0.7382039395905419
98.88892202317656,-0.32436092458811006
101.60436093826047,-0.2616610813671659
104.39436440871306,-0.3138627357113232
107.26097993885733,-0.550582405914943
110.20631125643139,-0.40604252475797337
113.23251985645456,-0.16255698042009903
116.34182658748716,-0.20398637086587557
119.53651328144828,-0.4435122997057329
122.81892442818732,-0.5113411957496921
126.19146889603861,-0.22176826994506127
129.65662169962147,-0.46965794000514566
133.2169258161831,-0.5938638962217138
136.87499405181757,-0.501132896845454
140.63351095892943,0.2788165839471556
144.49523480635136,0.2458979253468026
148.46299960355873,-0.13954058219085236
152.5397171804689,-0.45890521659559114
156.7283793243504,0.03183884349282888
161.0320599754108,0.06621377120970748
165.45391748267397,-0.26714472161901925
169.99719692180312,-0.11642998736695151
174.66523247656878,-0.2777123591434104
179.46144988571277,-0.1793915602552731
184.38936895699987,-0.787276255725937
189.45260615030492,-0.9885304026391396
194.6548772316301,-0.3399371386103313
200.00000000000003,-0.135007142689335
205.49189708923603,-0.11968274475938967
211.13459884666585,-0.4809549181777154
216.93224629088093,-0.07889493032590372
222.8890941507125,0.1118602941973563
229.00951398765628,0.24878632395195047
235.2979974040371,0.021241367577279985
241.75915933926856,-0.1437499514641477
